cpu,mb,gpu,ram,psu,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
AMD Ryzen 5 5600,MAINBOARD (AM4) GIGABYTE B450M DS3H V3 DDR4 (REV. 1.5),GeForce GTX 1080 Ti,RAM DDR4(3200) 16GB ADATA D35G XPG WHITE (AX4U320016G16A-SWHD35) x2,POWER SUPPLY (80+ BRONZE) 850W THERMALTAKE SMART BX3 (ATX 3.1),29695.288800000002,21539,18590,0.30536519901776027,0.4626628955089741,0.3840140472633672,Basic
Intel Core i7-6700 @ 3.40GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Tesla P40,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2) x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST WHITE SFX,34347.5176,8038,11595,0.1126149277596939,0.2777616240649203,0.19518827591230709,Basic
Intel Core i5-12400,MAINBOARD (1700) ASUS TUF GAMING B760M-PLUS WIFI II (DDR5),Intel Arc,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5227BAA-2) x2,POWER SUPPLY (80+ GOLD) 1000W NZXT CORE (PA-0G3BB-US),53875.04,18786,5491,0.26606133287647765,0.11641246596706405,0.19123689942177086,Basic
Intel Core i3-8300T @ 3.20GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon RX 6900 XT,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (80+ GOLD) 850W ASUS ROG STRIX AURA GAMIN G850G,40201.524000000005,5378,26695,0.07463879846953342,0.676905183579604,0.3757719910245687,Basic
Intel Core i7-6700K @ 4.00GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 980 Ti,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (80+ WHITE) 550W SILVERSTONE (SST-ST550-EF),21944.5496,8938,13665,0.125463994060876,0.33247865507123786,0.22897132456605693,Basic
Intel Core i9-9900T @ 2.10GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Radeon RX 5500 XT,RAM DDR4(3200) 16GB HIKSEMI ARMOR BLACK (HSC416U32D2)Recommend x2,POWER SUPPLY (80+ GOLD) 850W NZXT WHITE (PA-8G2BW-US),35951.68,13112,9073,0.18505510821769172,0.21109671962147447,0.1980759139195831,Basic
AMD Ryzen 7 PRO 5750GE,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),GeForce RTX 2070,RAM DDR4(3200) 16GB HIKSEMI FUTURE WHITE RGB (HSC416U32F4) x2,POWER SUPPLY (80+ PLATINUM) 1000W GIGABYTE AORUS P1000W (GP-AE1000PM PG5),49819.7088,21046,16060,0.2983267660327794,0.39578652427903044,0.34705664515590495,Basic
Intel Core i9-14900KS,MAINBOARD (1700) GIGABYTE B760M GAMING X DDR5 (REV. 1.0),GeForce GTX 1060,RAM DDR5(5200) 32GB (16GBX2) KINGSTON FURY BEAST RGB WHITE (KF552C40BWAK2-32) x2,POWER SUPPLY (80+ BRONZE) 650W ITSONAS DARK FOREST SFX,65561.0728,60309,10056,0.8588744217920165,0.23708070101239728,0.5479775614022069,Standard
Intel Xeon E3-1275 v6 @ 3.80GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 5070 Ti,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY (80+ BRONZE) 650W DTECH PW023A,81237.324,9198,32472,0.12917594654788417,0.8296106367793609,0.47939329166362254,Standard
Intel Core i7-13700KF,MAINBOARD (1700) ASROCK B760M PG LIGHTNING DDR5,Radeon RX 560,RAM DDR5(6400) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR64C55-32G2W2) x2,POWER SUPPLY (80+ BRONZE) 600W ITSONAS AURORA ARGB,60736.592000000004,45649,3681,0.6495774084860945,0.06856810552192646,0.3590727570040105,Basic
Intel Xeon E3-1205 v6 @ 3.00GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 1660 Ti,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST SFX,31706.16,5682,12681,0.07897892753126606,0.3064682403320029,0.19272358393163447,Basic
Intel Core i5-10400 @ 2.90GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 5080,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY 550W DTECH PW032,63885.2088,11986,35722,0.16897949860087944,0.9155190187941107,0.5422492586974951,Standard
AMD Ryzen 9 3900X,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),Quadro M4000,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2,POWER SUPPLY (80+ WHITE) 600W MONTECH AP600,31591.68,32504,6672,0.46190965678716234,0.14763025032380853,0.3047699535554854,Basic
AMD Ryzen 3 2300X,MAINBOARD (AM4) GIGABYTE A520M S2H DDR4 (REV. 1.3),GeForce RTX 2060,RAM DDR4(3200) 16GB KINGSTON FURY BEAST (KF432C16BB1/16WP) x2,POWER SUPPLY (80+ BRONZE) 650W ASUS TUF GAMING,26282.160799999998,7566,14103,0.10587630632174061,0.34405646163199494,0.22496638397686777,Basic
AMD Athlon 5000 Dual-Core,MAINBOARD (AM4) GIGABYTE A520M H ARGB DDR4 (rev. 1.0),Radeon Pro 455,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2,POWER SUPPLY (FULL) 700W AEROCOOL SUPERB,31921.644,872,3112,0.010307806521614985,0.05352753033226719,0.03191766842694109,Basic
Intel Core i9-13900F,MAINBOARD (1700) GIGABYTE H610M H V3 DDR4 (REV. 1.0),GeForce GTX 950,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (80+ BRONZE) 650W ITSONAS FROZEN,31100.6464,48517,5354,0.6905230997658615,0.11279109724828844,0.40165709850707493,Basic
Intel Core i5-11400F @ 2.60GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon RX Vega 56,RAM DDR4(3200) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (FULL) 650W VIKINGS VK,28550.1928,16890,13005,0.2389926332019873,0.3150326451851656,0.27701263919357644,Basic
Intel Core i3-10100T @ 3.00GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 5700,RAM DDR4(3200) 8GB HIKSEMI ARMOR BLACK (HSC408U32D2)Recommend x1,POWER SUPPLY (80+ BRONZE) 650W ITSONAS DARK FOREST WHITE SFX,14226.64,7299,14256,0.10206441665238991,0.3481007639237662,0.22508259028807806,Basic
Intel Core i3-12100,MAINBOARD (1700) ASROCK B760M PRO RS DDR4,Intel Arc A770,RAM DDR4(3200) 16GB LEXAR (LD4AU016G-B3200GSST) x2,POWER SUPPLY 750W OKER EB-750,28016.64,12402,13347,0.1749186225800925,0.3240728503079485,0.2494957364440205,Basic
Intel Core i3-14100T,MAINBOARD (1700) ASROCK B760M PRO RS DDR5,Tesla M40,RAM DDR5(5600) 96GB (48GBX2) G.SKILL TRIDENT Z5 RGB BLACK (F5-5600J4040D48GX2-TZ x2,POWER SUPPLY (80+ SILVER) 550W GIGABYTE P-550SS ICE (GP-550SS),191770.484,13677,10219,0.19312146650676715,0.24138933678729088,0.217255401647029,Basic
Intel Core i7-13800HRE,MAINBOARD (1700) ASUS B760M-AYW WIFI DDR5,Quadro P1000,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ WHITE) 600W MSI MAG A600DN,53955.520000000004,19884,4498,0.2817371937639198,0.09016415109301895,0.18595067242846938,Basic
Intel Core i5-9500T @ 2.20GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),GeForce RTX 5060 Ti 16GB,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ BRONZE) 750W EINARE AXIS MASTER L1 Black (EXPS-AMH1-750-BK),48725.04,8062,22700,0.11295756952772543,0.5713039570722424,0.3421307632999839,Basic
AMD Ryzen 5 2600,MAINBOARD (AM4) GIGABYTE B450M DS3H V3 DDR4 (REV. 1.5),Radeon Pro SSG,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (80+ GOLD) 1250W MSI MAG A1250GL PCIE5,115281.6888,13138,10971,0.18542630346639255,0.26126721471808834,0.22334675909224044,Basic
Intel Core i9-9820X @ 3.30GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon Pro 555,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC) x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST SFX,62473.2472,20520,3140,0.2908172006167552,0.054267664085009645,0.17254243235088243,Basic
Intel Core i3-12100F,MAINBOARD (1700) GIGABYTE H610M H V3 DDR4 (REV. 1.0),Radeon PRO W6800,RAM DDR4(3200) 16GB KINGSTON FURY BEAST RGB (KF432C16BB12A/16WP) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,86130.1776,13974,20158,0.19736165838615727,0.5041103856625518,0.35073602202435455,Basic
Intel Core i7-8086K @ 4.00GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Tesla P4,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2) x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,29930.08,14070,9158,0.19873222545828334,0.21334355422801407,0.2060378898431487,Basic
Intel Core i7-13800HRE,MAINBOARD (1700) GIGABYTE B760M E DDR5 (REV. 1.0),GeForce RTX 3050 OEM,RAM DDR5(5200) 16GB (8GBX2) CORSAIR VENGEANCE BLACK (CMK16GX5M2B5200Z40) x2,POWER SUPPLY 620W ITSONAS KINGKONG,43495.520000000004,19884,11918,0.2817371937639198,0.2862995955697708,0.2840183946668453,Basic
Intel Core i5-13500T,MAINBOARD (1700) GIGABYTE B760M E DDR5 (REV. 1.0),GeForce GTX 1050,RAM DDR5(5200) 64GB (32GBX2) KINGSTON FURY BEAST (KF552C40BBK2-64) x2,POWER SUPPLY (80+ BRONZE) 850W ITSONAS FROZEN,56789.84,22571,5045,0.3200987950431158,0.10462319261980914,0.21236099383146245,Basic
Intel Core i3-14100F,MAINBOARD (1700) GIGABYTE B760M GAMING X DDR5 (REV. 1.0),Radeon RX 470/570,RAM DDR5(4800) 16GB APACER (FL.16G2A.PTH) x2,POWER SUPPLY 600W TSUNAMI EX600,37013.6992,15382,7925,0.21746330877733994,0.18075123575903362,0.19910727226818678,Basic
Intel Core i5-11600T @ 1.70GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce RTX 5050,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,32318.56,14447,17381,0.2041145565644452,0.4307049773994872,0.3174097669819662,Basic
Intel Core i7-12800HE,MAINBOARD (1700) ASROCK H610M-H2/M.2 DDR5,RTX A6000,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5227BAA-2) x2,POWER SUPPLY (80+ BRONZE) 750W COOLER MASTER MWE V2 230V (MPE-7501-ACABW-BTH),192936.72,26096,22795,0.3704243047227457,0.5738151251619042,0.47211971494232496,Standard
Intel Xeon E3-1535M v6 @ 3.10GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Intel Arc A770,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ BRONZE) 750W AEROCOOL LUX RGB,49777.759999999995,8109,13347,0.11362857632345383,0.3240728503079485,0.21885071331570116,Basic
Intel Core i7-14700K,MAINBOARD (1700) ASROCK B760M PRO RS DDR4,T400,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32) x2,POWER SUPPLY 550W DTECH PW032,41130.7288,52121,3618,0.7419764719319285,0.06690280457825593,0.4044396382550922,Basic
Intel Core i5-6350HQ @ 2.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 4070 Ti,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC) x2,POWER SUPPLY (80+GOLD) 850W ASUS PRIME 850G,51772.72,4255,31568,0.058606019073725084,0.8057148899051043,0.4321604544894147,Basic
Intel Core i9-11900F @ 2.50GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce GTX 980 Ti,RAM DDR4(3200) 16GB HIKSEMI FUTURE WHITE RGB (HSC416U32F4) x2,POWER SUPPLY (80+ GOLD) 750W COOLER MASTER MWE V3 NM FR (MPE-7506-ACAG-BTH),40710.759999999995,22089,13665,0.313217406201816,0.33247865507123786,0.3228480306365269,Basic
Intel Core i9-9900T @ 2.10GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,RTX A1000,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7) x2,POWER SUPPLY (80+ PLATINUM) 750W ASUS ROG-LOKI-750P,48376.68,13112,10781,0.18505510821769172,0.2562448785387645,0.2206499933782281,Basic
Intel Core i3-8300 @ 3.70GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,GeForce GTX 1060 3GB,RAM DDR4(3200) 8GB BLACKBERRY MAXIMUS GRAY x1,POWER SUPPLY (80+ SILVER) 550W GIGABYTE P-550SS ICE (GP-550SS),15357.0152,6368,9829,0.08877277140083376,0.2310803309455209,0.15992655117317733,Basic
AMD Athlon Dual Core 4850e,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),Radeon RX 7900 XT,RAM DDR4(2666) 16GB HIKSEMI (HSC416U26Z1) x2,POWER SUPPLY (CYBENETICS GOLD) 850W SILVERSTONE TRITON 850RX (SST-TR850R-GF),46483.68,799,28996,0.009265604477185769,0.7377283180460469,0.3734969612616163,Basic
Intel Core i5-14600KF,MAINBOARD (1700) GIGABYTE B760M D3HP DDR4 (REV. 1.0),RTX PRO 5000 Blackwell,RAM DDR4(3200) 16GB HYNIX 8 CHIP x2,POWER SUPPLY (80+ WHITE) 750W MONTECH AP750,191397.0888,38522,31628,0.5478270801210667,0.8073008908038382,0.6775639854624524,Standard
AMD Ryzen 7 1700,MAINBOARD (AM4) ASROCK B550M STEEL LEGEND DDR4,Radeon R9 Fury,RAM DDR4(2666) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ BRONZE) 650W ASUS PRIME,34637.6888,14763,9515,0.20862600651019358,0.22278025957548045,0.215703133042837,Basic
AMD Ryzen 5 3600,MAINBOARD (AM4) GIGABYTE B550M DS3H R2 DDR4 (REV. 1.0),Radeon RX 7800 XT,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32WP) x2,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT SNOW (PS-TPT-1000FNFAGE-W),48647.3776,17678,24324,0.250242704585689,0.614231714731305,0.432237209658497,Basic
AMD Ryzen 7 3700X,MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,GeForce RTX 5090,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (80+ BRONZE) 650W ITSONAS FROZEN,144178.28,22417,38918,0.31790017703158013,1.0,0.6589500885157901,Standard
AMD Athlon 2200+,MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,T600,RAM DDR4(3200) 16GB BLACKBERRY ASGARD x2,POWER SUPPLY (80+ WHITE) 750W SILVERSTONE (SST-ST750-EF),23890.059999999998,236,6369,0.001227799668779624,0.13962094578520262,0.07042437272699112,Basic
AMD Ryzen 7 1700,MAINBOARD (AM4) GIGABYTE B550 EAGLE WIFI6 DDR4 (REV. 1.0),Intel Arc A750,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES WHITE x2,POWER SUPPLY (CYBENETICS GOLD) 1000W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-1000-BK),28597.6888,14763,12606,0.20862600651019358,0.30448573920858557,0.2565558728593896,Basic
Intel Core i3-10100 @ 3.60GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 480,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7) x2,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,32003.2088,8511,8538,0.11936782593798184,0.19695487827443103,0.15816135210620644,Basic
Intel Core i3-10100E @ 3.20GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon RX 6800 XT,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2,POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT,36570.0,7816,25018,0.1094454914054023,0.6325764584599931,0.3710109749326977,Basic
Intel Core i3-9320 @ 3.70GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),RTX A6000,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E (CP-9020296-NA),165841.6504,7358,22795,0.10290674433213409,0.5738151251619042,0.33836093474701917,Basic
Intel Core i7-6850K @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 2080 Ti,RAM DDR4(2666) 16GB HYNIX 16 CHIP x2,POWER SUPPLY (80+ GOLD) 850W CORSAIR SERIES RM850E WHITE (CP-9020293-NA),33145.3912,11368,21483,0.16015647307406772,0.5391345721762576,0.3496455226251627,Basic
AMD Ryzen 3 4100,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),Radeon RX 470/570,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2,POWER SUPPLY (80+ GOLD) 1250W MSI MAG A1250GL PCIE5,37567.28,11042,7925,0.15550225572497287,0.18075123575903362,0.16812674574200326,Basic
Intel Xeon E-2468,MAINBOARD (1700) MSI PRO H610M-E DDR5,Radeon RX 6400,RAM DDR5(5600) 32GB (16GBX2) KINGBANK KJUS x2,POWER SUPPLY (80+ BRONZE) 500W ITSONAS AURORA ARGB,56242.12,26652,7750,0.3783621723488093,0.17612539980439323,0.2772437860766013,Basic
AMD Ryzen 5 4500,MAINBOARD (AM4) GIGABYTE B550 EAGLE WIFI6 DDR4 (REV. 1.0),Tesla P40,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 650W EINAREX AXIS MASTER L1 WHITE (EXPS-AMH1-650-WH),33536.5264,16009,11595,0.22641482496716347,0.2777616240649203,0.25208822451604185,Basic
AMD Athlon 220GE,MAINBOARD (AM4) MSI A520M-A PRO DDR4,GeForce RTX 2080 SUPER,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH) x2,POWER SUPPLY (80+ GOLD) 1000w. ASUS TUF GAMING 1000G WHITE,33649.752,4444,19460,0.061304322996973325,0.4856599085406148,0.27348211576879405,Basic
Intel Core i9-11900 @ 2.50GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 2060 SUPER,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (80+ BRONZE) 600W ITSONAS AURORA ARGB,48466.6856,22336,16489,0.31674376106447377,0.4071264307049774,0.3619350958847256,Basic
Intel Core i9-10900TE @ 1.80GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon RX Vega 11,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (80+ WHITE) 750W SILVERSTONE (SST-ST750-EF),62037.28,14159,2090,0.20000285534806692,0.026512648357167403,0.11325775185261716,Basic
Intel Core i3-14100T,MAINBOARD (1700) ASROCK B760M PRO RS DDR4,GeForce RTX 3060 12GB,RAM DDR4(3200) 16GB KINGBANK KJXS SILVER x2,POWER SUPPLY (80+BRONZE) 750W ASUS PRIME (90YE00Y0-B0DA00),36990.484,13677,16752,0.19312146650676715,0.4140784013110941,0.3035999339089306,Basic
Intel Core i9-10940X @ 3.30GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon R9 380,RAM DDR4(3200) 16GB HIKSEMI ARMOR BLACK (HSC416U32D2)Recommend x2,POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST WHITE SFX,34909.68,27651,5977,0.39262463594312147,0.1292590732468082,0.26094185459496483,Basic
AMD Athlon LE-1620,MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,Quadro P620,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2,POWER SUPPLY (80+ GOLD) 750W ANTEC GSK V2,36890.16,421,3703,0.0038689966306892807,0.06914963918479554,0.03650931790774241,Basic
Intel Core i7-6770HQ @ 2.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 1080,RAM DDR4(3200) 16GB (8GBX2) ADATA D35G XPG RGB BLACK (AX4U32008G16A-DTBKD35G) x2,POWER SUPPLY (80+ GOLD) 750W COOLER MASTER MWE V3 NM FR (MPE-7506-ACAG-BTH),42953.28,7019,15612,0.09806692935868883,0.38394438423515104,0.24100565679691993,Basic
Intel Core i5-7600K @ 3.80GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P3200,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY (FULL) 650W NUBWO NPS-650 BLACK,32854.4608,6819,8488,0.09521158129175947,0.1956332108588195,0.14542239607528948,Basic
Intel Core i3-9350K @ 4.00GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Quadro P2200,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT SNOW,38233.394400000005,7596,9411,0.10630460853178003,0.22003119135100846,0.16316789994139425,Basic
Intel Core i5-6500 @ 3.20GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 6700S,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2,27168.48,5602,15080,0.07783678830449431,0.3698818429330443,0.22385931561876932,Basic
Intel Core i5-13490F,MAINBOARD (1700) MSI PRO H610M-E DDR5,Quadro P5000,RAM DDR5(5200) 32GB (16GBX2) KINGSTON FURY BEAST RGB WHITE (KF552C40BWAK2-32) x2,POWER SUPPLY (80+ GOLD) 1200W ASUS TUF GAMING 1200G,109705.2744,26583,12637,0.3773770772657187,0.3053051730062647,0.3413411251359917,Basic
Intel Core i3-10105F @ 3.70GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce GTX 950,RAM DDR4(2666) 8GB APACER 8 CHIP (EL.08G2V.GNH) x1,POWER SUPPLY (80+ BRONZE) 750W DTECH PW071A,14137.1256,8894,5354,0.12483581748615155,0.11279109724828844,0.11881345736721999,Basic
Intel Core i5-8500B @ 3.00GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Tesla T4,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES BLACK x2,POWER SUPPLY (80+ PLATINUM) 850W GIGABYTE AORUS P850W (GP-AE850 PM PG5),50185.04,8870,9903,0.12449317571812002,0.23303639872062595,0.178764787219373,Basic
Intel Core i7-9850HL @ 1.90GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,GeForce RTX 4060 Ti,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (80+ BRONZE) 750W MSI MAG A750BN PCIE5,38322.4,7897,22632,0.11060190737250869,0.5695064893870107,0.3400541983797597,Basic
AMD Ryzen 7 4700G,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),GeForce GTX 1650 SUPER,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY ASGARD (B16G32DASX2) x2,POWER SUPPLY (80+ WHITE) 750W SILVERSTONE (SST-ST750-EF),29236.9344,20114,10186,0.28502084404088857,0.24051703629298724,0.2627689401669379,Basic
Intel Core i3-8300 @ 3.70GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),Radeon R9 Fury,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES WHITE x2,POWER SUPPLY (80+ WHITE) 600W MSI MAG A600DN,41212.0152,6368,9515,0.08877277140083376,0.22278025957548045,0.1557765154881571,Basic
Intel Core i5-13500,MAINBOARD (1700) ASUS PRIME B760M-A DDR5,Radeon RX 6700 XT,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES WHITE x2,POWER SUPPLY (CYBENETICS PLATINUM) 1050W MONTECH CENTURY II,49185.861600000004,31007,19734,0.4405373765061961,0.492902645978166,0.4667200112421811,Standard
Intel Core i9-10940X @ 3.30GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 4090,RAM DDR4(3200) 16GB KINGSTON VALUE RAM (KVR32N22D8/16WP) x2,POWER SUPPLY (80+ SILVER) 600W ITSONAS DARK FOREST 1U FLEX (DF-FX600) SFX,105129.68,27651,38093,0.39262463594312147,0.9781924876424097,0.6854085617927657,Standard
Intel Core i5-8400 @ 2.80GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),GeForce RTX 2070 SUPER,RAM DDR4(3200) 16GB BLACKBERRY 8 CHIP x2,POWER SUPPLY (80+ PLATINUM) 1000W ASUS ROG LOKI 1000P SFX,34435.2704,9231,18150,0.12964707897892752,0.4510322222515926,0.29033965061526007,Basic
Intel Core i5-12490F,MAINBOARD (1700) GIGABYTE H610M H V3 DDR4 (REV. 1.0),Radeon Pro W5700,RAM DDR4(3200) 16GB ADATA 16 CHIP (AD4U320016G22-SGN) x2,POWER SUPPLY (80+ GOLD) 750W ASUS TUF GAMING 750G,46969.804000000004,20376,14182,0.28876135000856606,0.34614469614866117,0.3174530230786136,Basic
AMD Ryzen 9 3900,MAINBOARD (AM4) MSI B550M PRO VDH WIFI DDR4,GeForce RTX 4070 SUPER,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST (KF432C16BBK2/16WP) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E (CP-9020297-NA),48546.0888,30600,29966,0.4347267431899949,0.7633686659089107,0.5990477045494528,Standard
